,0
1799,113636
1800,157
1801,21133
1802,1219
1803,37358
1804,370591
1805,298229
1806,332944
1807,42673
1808,238546
1809,256320
1810,269725
1811,21551
1812,350736
1813,3931
1814,216632
1815,155255
1816,223376
1817,250881
1818,63759
1819,146418
1820,207572
1821,38765
1822,163370
1823,120
1824,230383
1825,228372
1826,66588
1827,56931
1828,293678
1829,144529
1830,16267
1831,295905
1832,6205
1833,49
1834,192945
1835,248005
1836,24703
1837,238393
1838,398
1839,309105
1840,1032
1841,12477
1842,245931
1843,6901
1844,85005
1845,145588
1846,261594
1847,33154
1848,526
1849,340
1850,195528
1851,257732
1852,367498
1853,240271
1854,284121
1855,36648
1856,301919
1857,125752
1858,347013
1859,155695
1860,128667
1861,196496
1862,142961
1863,75358
1864,218293
1865,214484
1866,362944
1867,157026
1868,136955
1869,285905
1870,181345
1871,179303
1872,128442
1873,127997
1874,31105
1875,363307
1876,253684
1877,73
1878,174973
1879,293835
1880,274450
1881,28259
1882,232
1883,113289
1884,118695
1885,300683
1886,168681
1887,216428
1888,205125
1889,155969
1890,85325
1891,322656
1892,168998
1893,181819
1894,242653
1895,36522
1896,338460
1897,309430
1898,317434
1899,238656
1900,143404
1901,294514
1902,34707
1903,295262
1904,63543
1905,22192
1906,267378
1907,903
1908,118174
1909,134157
1910,442
1911,17710
1912,67239
1913,169416
1914,162009
1915,180771
1916,98918
1917,65564
1918,1117
1919,187273
1920,231696
1921,243430
1922,259374
1923,193737
1924,184824
1925,359152
1926,350458
1927,233208
1928,84
1929,23679
1930,300010
1931,41863
1932,9441
1933,329873
1934,285775
1935,27225
1936,129459
1937,215312
1938,198525
1939,32412
1940,120217
1941,144239
1942,140
1943,249
1944,204184
1945,21954
1946,148203
1947,187653
1948,335212
1949,592
1950,169318
1951,37141
1952,176558
1953,356414
1954,9910
1955,73664
1956,34585
1957,153507
1958,204135
1959,39217
1960,187680
1961,7858
1962,321277
1963,318546
1964,198287
1965,222407
1966,220367
1967,253664
1968,19526
1969,198190
1970,163
1971,156496
1972,337787
1973,204574
1974,216597
1975,12589
1976,137330
1977,36811
1978,3353
1979,141736
1980,111105
1981,230791
1982,189660
1983,266967
1984,303672
1985,472
1986,363369
1987,283934
1988,1234
1989,253635
1990,172737
1991,277597
1992,172933
1993,32666
1994,218920
1995,320718
1996,236217
1997,40393
1998,207207
1999,109291
2000,42124
2001,41749
2002,54361
2003,466
2004,197097
2005,173156
2006,6887
2007,249590
2008,216070
2009,144826
2010,193739
2011,40760
2012,287589
2013,277927
2014,339484
2015,342857
2016,284217
2017,144553
2018,331401
2019,223049
2020,91620
2021,424
2022,312859
2023,71061
2024,226634
2025,81640
2026,227072
2027,131904
2028,86246
2029,16772
2030,715
2031,300583
2032,294702
2033,123096
2034,266965
2035,65282
2036,267609
2037,206150
2038,3720
2039,153064
2040,278553
2041,25224
2042,68182
2043,46255
2044,268012
2045,71906
2046,209001
2047,317311
2048,242529
2049,620
2050,252556
2051,65515
2052,332321
2053,303551
2054,168788
2055,210290
2056,330174
2057,337
2058,143401
2059,12692
2060,75476
2061,13551
2062,2961
2063,344258
2064,62220
2065,177354
2066,363247
2067,112686
2068,128
2069,31552
2070,208773
2071,125921
2072,359970
2073,205158
2074,166286
2075,248918
2076,214032
2077,98315
2078,119391
2079,1442
2080,252877
2081,305985
2082,193322
2083,192802
2084,225818
2085,352697
2086,925
2087,155463
2088,191972
2089,31759
2090,262114
2091,31624
2092,270847
2093,114031
2094,191963
2095,249763
2096,122240
2097,118063
2098,284778
2099,220632
2100,299963
2101,89910
2102,320
2103,162388
2104,209660
2105,142271
2106,153318
2107,15954
2108,6779
2109,130
2110,124052
2111,281960
2112,220775
2113,104581
2114,152765
2115,54307
2116,1295
2117,12005
2118,203430
2119,314745
2120,207729
2121,166317
2122,273910
2123,157958
2124,92190
2125,180564
